Name	Series	Description	Ingredients	Instructions	Time	Level
Honey Cakes 	The Hobbit 	Sweet Furity Honey Cakes	"1.75*cups*Flour,1.5*teaspoon*Baking Powder,0.5*teaspoon*Salt,115*grams*Butter,85*grams*Dried Blueberries,1*zest*Lemon,0.75*cups*Whole Milk,1*null*Egg,1*cup*Honey,12*null*Candied Almonds"	"1.   Preheat your oven to 400F / 205C. While the oven heats up, whisk together your flour, baking powder, and salt.||2.  Mix the butter into the flour blend until you achieve a crumbly meal. Once it looks like gravel, add the lemon zest and blueberries or currants. Make sure it's all well blended.||3. In another bowl, beat the milk, egg, and 3/4 cup of honey until you get a nice, sloppy mess. Pour that into the crumbly flour blend and mix until the batter is just barely free of lumps. No need to overwork it or else you'll burst the blueberries.||4. Scoop about a third cup of the batter into heavily buttered muffin pan wells. You want to use a generous amount of butter instead of liners in order to achieve a nice, crispy crust.||5. For the first baking, leave them in a 400F / 205C oven for 12 minutes. They'll be ready to take out of the oven when the tops feel solid, but a toothpick stuck in the centre comes out a little sticky. If you use enough butter, the cakes should slide right out of the muffin tin. Arrange them 1 inch / 2.5 cm apart on a greased baking sheet.||6. Gently press a candied almond (or a plain one if you prefer) into the middle of each honey cake then generously drizzle the rest of your honey on top of the cakes. It helps to heat your honey in the microwave for 15-20 seconds to thin it out. Use enough to coat the top and let it drip down the sides. This creates a nice crispy glaze on your honey cakes. Once they're decorated with an almond crown and drizzled in sweetness, let the honey cakes sit for at least 5 minutes so the honey can soak in.||7.  Put the baking sheet back in the oven for 10-12 minutes, or until the tops are a deep golden honey brown.||8. While they're still perfectly edible days later, if you find yourself the host of an unexpected party, these honey cakes are quick to make and taste amazingly fresh from the oven with a bit of jam and clotted cream. They're even better the next day when the crust is nice and crispy and the interior is still soft and moist"	45	Easy
Steak and Ale Pie	The Hobbit 	Juicy Mushroom and Steak Pie	"1*kilogram*Stewing Beef (trimmed and cubed),250*grams*Button Mushrooms,250*grams*Carrots (peeled and cut into 1 inch chunks),2*cups*Ale,2.25*cups*Beef Stock,60*grams*Butter,100*grams*Bacon,2*medium*Onions (peeled and sliced),4*cloves*Garlic (chopped),1*tablespoon*Fresh Rosemary Leaves,0.5*tablespoon*Thyme Leaves,1*teaspoon*Coarse Salt,1*teaspoon*Fresh Ground Black Pepper,2*tablespoons*Flour,0.25*cup*Cold Water,2*cups*Flour (crust),120*grams*Butter (softened for crust),0.25*teaspoon*Coarse Salt (crust),1*null*Egg (beaten),1*tablespoon*Cold Water ( crust)"	"1. To make the filling, start by frying the bacon in a large skillet until it's crispy. Set the bacon aside on a plate. You now have a pan full of delicious bacon grease. Add the cubes of beef and brown them on all sides. You'll probably need to do this in 3-4 batches to keep from overcrowding the pan. As each batch of beef is browned up, add it to a Dutch oven.||2. Once your beef is all browned, melt the butter in your skillet. Add the sliced onions and let them cook over medium-high heat for 3-4 minutes, or until they start to soften. Toss in the chopped garlic cloves and keep cooking for another 3-4 minutes or until the garlic just barely starts to brown. Add the sprig of rosemary leaves, thyme, and fresh ground pepper. Keep cooking for another 1-2 minutes to release the flavour of the herbs.||3. You know, that beef looks lonely sitting by itself. Scrape your onion mix into the Dutch oven to keep it company. While you're at it, add in the carrots, ale, and beef stock.||4.  Bring the mix to a boil. Put a lid on it, reduce the heat down to medium-low, and let it simmer for about an hour and a half, or until the carrots are cooked through and the steak is tender.||5.  While the steak is cooking, mix up your pastry crust. This simple, dense crust adds amazing flavour - mostly because everything tastes better when drowned in butter. Mix the flour and salt. Now use your fingers to knead the flour into the butter until it resembles coarse gravel. Moisten that up by adding the beaten egg and 1 tbsp cold water. Keep mixing until you achieve a dense dough, then knead that a few times for good measure.||6. Divide your dough in half. Roll half of it until it's just large enough to cover the bottom of a well greased casserole dish or cake pan. Use a fork to poke a few holes in the bottom.||7. After a good 90 minute simmer, whisk together 2 tbsp flour and a quarter of a cup of cold water until you have no lumps. Gradually stir that into the stew to help thicken it.||8. After staring at that fried bacon for the last hour and a half, it's finally time to crumble it all up into the stew. Give the stew a hearty stir, then start ladling it into the casserole dish. Fill it 3 quarters of the way up. Any more than that and you risk it boiling over and spilling out the side of your dish. If you have any leftover, save it for individual pot pies.||9. Roll the remaining crust into a rectangle. Lay it on top of your casserole dish and pinch the edges closed. Trim off any excess.||10. Since you already went to all this effort, go ahead and knead the excess trimmed dough back into a ball. Roll it flat and use a small cookie cutter to cut out some attractive shapes. Use the extra dough to decorate the surface of your pie.||11. Whisk together an egg and 1 tbsp of water. Use a pastry brush to paint the egg wash on the surface of your pie crust. This will give it a lovely golden brown sheen.||12. Bake the pie at 400F / 205C for 30-35 minutes, or until the top crust is a dark, golden brown."	170	Medium
Stewed Hare with Root Vegetables and Herb Dumpling	The Hobbit 	Hare stew with vegetable and dumpling side dishes 	"1*tablespoon*Butter,2*null*Onions ( diced),1*medium*Rabbit (skinned and quartered),2*null*Bay Leaves,1*teaspoon*Fresh Ground Black Pepper,2*teaspoon*Coarse Salt,1*teaspoon*Dried Tarragon,1*teaspoon*Dried Thyme,0.5*teaspoon*Dried Basil,5*cups*Water,4*large*Carrots (peeled and cut into large chunks),4*medium*Potatoes (peeled and cut into large chunks),1*large*Turnip (peeled and cut into large chunks),1*cup*Flour,120*grams* Cold Butter (dumpling),20*grams*Fresh Parsley (chopped),2*teaspoon*Baking Powder,0.5*teaspoon*Coarse Salt (dumpling),0.5*teaspoon*Black Pepper ( dumpling)"	"1.  Start by peeling your carrots, potatoes, and turnip. Cut the root veggies into equal sized large chunks of around 2 inches / 5 cm.||2.  It's time to get out your trusty Dutch oven again. If you don't have a Dutch oven, use your heartiest stock pot.||3.  Melt 1 tbsp butter or lard over medium-high heat. Once the fat is a liquid, carefully brown your rabbit quarters. Use a pair of tongs to take them out of the pot and add the chopped onion in their place. Cook the onion until it barely starts to brown, no more than 3-4 minutes. Add the salt, pepper, bay leaves, tarragon, thyme, and basil. Mix them in with the onions and keep cooking for another minute.||4.  Add all the water. Give it all a good, hearty stir. Since you're not using broth, you really want the herbs mixed in well. Now return your rabbit pieces to the pot and put a lid on it. Turn the heat down to medium-low. You want to get a nice simmer going. Don't let it come to a heavy boil. Let the hare and herbs simmer for 1 and a half hours, stirring once every 15 minutes or so.||5.   After an hour and a half, add the carrots, potatoes, and turnips. Give it all another good, hearty stir and put the lid back on. Let it keep cooking for another half hour.||6.  Meanwhile, prepare your dumplings. Mix the flour, salt, pepper, parsley, and baking powder. Now cut the butter into small pieces and add it in. Use your fingers to crumble the butter into the flour mix. Once you've made something akin to parsley flavoured gravel, add water, 1 tsp at a time, until you've got just enough to turn the gravel into a soft dough. Don't knead, squeeze, or overwork the dough. If you do, you'll get tough, chewy dumplings instead of soft, fluffy ones. Rip the dough into 8 smaller pieces.||7. Give your gently simmering stew one more hefty stir. Now carefully drop the 8 dumplings on top of the liquid. Don't fuss with it. Just drop in a dumpling and move along. It doesn't need to be perfect. Get them into the pot as quickly as possible and slap a lid on it.||8. Clamp the lid down tightly and leave it alone for 20 minutes. Do not raise the lid. If you let the steam escape, you'll ruin your dumplings.||9.  After 20 minutes, take the lid off and admire your handiwork. Use a slotted spoon to carefully lift the dumplings out of the broth. Now, because you're a nice person, fish out the bones. If your broth is too thin, you can boil it uncovered for a few minutes to thicken it up.||10.  Serve each person one hearty scoop of rabbit and veggies with two dumplings. Pour a little extra broth on top to keep it nice and creamy."	185	Medium
Plum Heavies 	The Hobbit 	A small round cake made with an assortment of dried fruits 	"2.5*cups*Flour,1*cup*Butter (softened),0.5*cup*Sugar,0.5*cup*Minced Plums,2*tablespoons*Milk,1*teaspoon*Cinnamon,1*null*Egg (beaten)"	"1. Beat the butter, sugar, cinnamon, and milk until you have a dense, fatty mess. Sweeten it up by adding in your minced plums (or other fruit.) Once those are thoroughly integrated, add the flour.||2.  It's time to give up on stirring and just use your hands. Really work the flour into the buttery mix. Once everything is well integrated, knead the dough a few times for good measure.||3.  Roll the dough out to about a quarter inch / 6 mm thickness. Attack the dough with a small, round cookie cutter about 1and half inches / 3 cm wide. Remember, the goal here isn't a giant American cookie. It should be just big enough for 2-3 bites. These don't inflate much, so you can squeeze a lot of them onto a cookie sheet. Keep at it until you finally run out of dough.||4.  If you'd like, you can whisk an egg with a tbsp of water for a glaze. Use a pastry brush to paint it on top of the pastry bites. Follow that up with a light dusting of extra sugar.||5. If you use whole raisins or currants, they have a tendency to rise to the top of the cookies. When baked, they'll look like fruit exploded from the surface. While that's kind of fun, it's also hard to store effectively. You can get around that by properly mincing all your fruit. The sticky cut sides anchor to the pastry, helping the pieces stick in place.||6.   Bake your plum heavies at 350F / 180C for 15-18 minutes, or until the pastry is golden brown and crunchy. They'll turn into a tough mess if refrigerated, so store them in a closed container (like a cookie jar) at room temperature for up to a week."	50	Easy
Hot Buttered Scones	The Hobbit 	Hobbit Scones	"2.5*cups*Flour,1*teaspoon*Baking Powder,1*teaspoon*Cream of Tartar,2.5*tablespoon*Sugar,60*grams*Butter (cold),1*cup*Whole Milk"	"1. Whisk together the flour, baking powder, cream of tartar, sugar, and salt. Once they're well mixed, add the butter. Use your fingers to work it into the flour in order to create crumbly edible gravel. The colder the butter, the better your scones.||2. Once the butter and flour are deliciously crumbly, moisten them up with the milk. Mix the dough until everything is barely combined, then lightly knead the dough a handful of times. You don't want to overwork it.||3.  Spread some flour on a clean work surface. While you're at it, dust your hands. Use them to press the dough so it's about 2 inches / 5 cm thick. Use a round or fluted round cookie cutter to punch out discs of tasty goodness. You usually see them about 3 inches / 7.5 cm across, but you can use whatever size cutters you own.||4. Arrange the scones 2 inches / 5 cm apart on a well greased baking sheet. Don't be shy about the butter.||5.  While you're at it, melt a little extra butter and paint it on top of your scones. Now that the scones are sitting on a buttery surface and topped with buttery goodness, let them rest for about 5 minutes before baking.||6.   Bake at 425F / 220C for 15-20 minutes, or until the tops are a delicious golden brown.||7.  These are best served piping hot, straight from the oven, with a dab of clotted cream or fresh raspberry jam. If you decide to take some along on an adventure, remember they won't last more than a day without going horribly stale. Make sure to slather the exterior in butter before toasting day old scones for a light breakfast."	50	Medium
Roast Rack of Lamb	The Hobbit 	Marinated Lamb Ribs	"1*null*Frenched Rack of Lamb ( with 8 ribs),1*tablespoon*Cooking Oil,2*cloves*Garlic (minced),1*tablespoon*Fresh Rosemary Leaves,1*teaspoon*Fresh Thyme,1*teaspoon*Kosher Salt,0.5*teaspoon*Fresh Ground Black Pepper,1*tablespoon*Sherry,0.5*teaspoon*Apple Cider Vinegar,0.5*teaspoon*Dark Mustard"	"1. Mix everything but the lamb until you have a thick paste.||2. Trim the rack of lamb of excess fat. Leave a layer no more than 1 inch / 2.5 cm thick. Rub the spice paste all over the meat. You can now either let it rest on the counter for two hours until it reaches room temperature or wrap the whole thing in plastic and put it back in the fridge to marinate overnight. If you do, take it out two hours before you're ready to bake. It's important you let the meat return to room temperature before baking. If you don't, you could end up with burned fat, a raw centre and overall uneven badness.||3. When your nicely crusted lamb is at room temperature, preheat your oven to 400F / 205C.||4.   Put a roasting rack in the bottom of a pan that's not too much bigger than the rack itself. Arrange the rack of lamb fat side up/bone side down in the middle of the pan. Since you probably have less practice roasting a lamb than most Victorian cooks, you might want to insert a meat thermometer into the thickest part of the meat so you'll know when your lamb is done.||5. Roast the lamb for 7-8 minutes then reduce the temperature to 300F / 150C. Cook for another 7-15 minutes, depending on how done you like it. For rare lamb, pull it out when the internal temperature reaches 125F / 52C. If you prefer medium rare, let it cook until it reaches 135F / 57C. You don't want to leave it in much past that or else instead of a lovely juicy cut of meat, you'll end up needing a hacksaw to get through it all.||6.   Residual heat will keep cooking the meat, so seriously, don't leave it in the oven for more than 22 minutes total. As soon as you take the rack out of the oven, baste it in its juices. Remove the rack to a plate and wrap it in foil (or, if you want to be more period, put it on the counter, flip over a clean pan, and put it over the lamb to keep it warm. Let the meat rest for 20 minutes.||7. While the lamb rests, put the roasting pan over your oven burners. (If you didn't use a burner-safe pan, do your best to scrape all the juices and lovely crunchy bits out of the pan and into a skillet.)||8.   Over medium heat, deglaze the roasting pan with your sherry. Stir frequently to get up all the good bits. Add the cider vinegar and dark mustard and keep stirring until you have a thick, gloriously fatty gravy.||9.  Once the lamb has rested for 20 minutes, cut it into four thick chops if you're feeling generous or eight smaller chops if you're hosting unexpected company."	55	Easy
Rosemary Skillet Peas 	The Hobbit 	Delicious pea side dish	"2*cups*Frozen Green Peas,3*tablespoons*Butter,1*tablespoon*Dried Rosemary,1*large*Garlic Clove (minced),2*teaspoons*Coarse Salt"	"1. Melt the butter in a large skillet over medium-high heat. Once the butter is melted, add your frozen peas and give them a good stir so they're completely coated. Cook your peas, stirring often, for 5-6 minutes, or until they're completely thawed and warmed through but not yet soft or mushy.||2.   Sprinkle the rosemary, garlic, and salt on top. Give it all a good stir and continue cooking for another 2-3 minutes or until the garlic barely starts to brown.||3. If you add the rosemary and garlic too soon, they'll burn by the time the peas are fully cooked. You want them in the butter long enough to add flavour without any tragic consequences.||4.  This recipe can be easily doubled if you're serving plenty of guests or your well trained family really loves their vegetables."	15	Easy
Stuffed and Roasted Mushrooms 	The Hobbit 	Cheesy sausage stuffed mushrooms	"4*large*Portabella Mushroom Caps,0.5*tablespoon*Butter,1*cup*Country Sausage,1*medium*Onion (diced),1*clove*Garlic (minced),1*teaspoon*Salt,1*teaspoon*Dried Herbs (rosemary or basil),0.5*teaspoon*Fresh Ground Pepper,1*null*Egg (beaten),280*grams*Dried Breadcrumbs,0.5*cup*Mozzarella Cheese (shredded) "	"1. Gently wash the mushroom caps and remove any remaining bits of stem. Let them sit out on a rack to dry while you brown the sausage.||2. Melt half a tbsp of butter in a large skillet over medium-high heat. Cook your breakfast sausage until browned through. Once fully browned, add it to a mixing bowl. In the same skillet, add your diced onion, minced garlic, dried herbs, salt, and pepper. Cook for 3-4 minutes, or until the onion is translucent and the garlic starts to brown. Add it to the mixing bowl full of sausage.||3. Once the mix is cool enough to touch, add the beaten egg. Use your hands to knead the sausage, vegetables, and herbs together with the egg binder. Once they're all mixed, add all but 4 tbsp of breadcrumbs and keep mixing until the crumbs have soaked up a lot of the moisture.||4. Divide the mix into four parts. Gently press each one into a mushroom cap, taking care not to split the mushroom.||5.  Sprinkle each mushroom with 1 tbsp of reserved breadcrumbs. Then add a couple of tablespoons of shredded cheese.||6.  Bake at 350F / 180C for 15 minutes-18 minutes. Let cool slightly before eating.||7. For a more modest Shire inspired meal, serve these alongside mashed potatoes, green peas cooked with rosemary, and a hunk of fresh bread"	45	Easy
Boxty on the Griddle 	The Hobbit 	Fried Irish Potato Bread	"450*grams*Bacon,2*cups*Potatoes (peeled and grated),2*cups*Potatoes (mashed),1.5*cups*Flour,1*tablespoon*Coarse Salt,1*teaspoon*Fresh Ground Black Pepper,1*teaspoon*Baking Powder,1.25*cups*Whole Milk,55*grams*Butter (melted),2*tablespoons*Butter "	"1. Grab your largest skillet and fry up an entire pound of bacon until crispy. This should leave you with a pan full of delicious juices. Set the bacon aside.||2. While the bacon is frying, peel and grate the raw potatoes until you have 2 cups of shreds. Soak them in cold water for five minutes to wash away the excess starch. Drain the potatoes then refresh them in more cold water.||3. Mix your flour, salt, pepper, and baking powder in a large bowl. Once those are well blended, add your mashed potatoes, whole milk, and melted butter. Keep mixing until you have a thick, pancake-like batter. Strain the shredded potatoes and add them to the party, mixing just enough to evenly distribute them in the batter.||4.  The next part requires patience. To make one large, family style boxty, you need slow, low, steady heat. Leave your bacon grease filled skillet at a steady medium, no hotter. Pour the batter in and spread it around the skillet until you have a single, giant pancake, no more than half an inch / 1.25 cm thick. If you have any leftover batter, get out a second skillet and make some baby boxtys fried in butter.||5. Let the big boxty cook for about ten minutes. You can use a spatula to peek under the edge in order to make sure it isn't burning, but do your best to just leave it in peace. Once the underside is a nice, golden brown, carefully slide it out onto a plate.||6.  Add the last 2 tbsp of butter to the pan and let it melt. Now carefully, quickly, put the buttered pan on top of your plate and flip it over so the raw batter side goes splat down onto the hot skillet.||7. Put the boxty back on medium heat and let it continue cooking for another 10 minutes or until golden brown on both sides.||8. Slide your glorious disc of boxty onto a large plate. Remember all that bacon you fried? Tear it into small pieces and pile them on top of the boxty. "	40	Easy
Beef Braised Carrots 	The Hobbit 	Delicious carrotside dish	"1*kilograms*Carrots (peeled),2*cups*Beef Broth,2*cloves*Garlic (crushed),2*sprigs*Fresh Kitchen Herbs (rosemary or thyme),2*tablespoons*Butter"	"1. Sort your carrots to find the ones that are no more than 1 inch / 2.5 cm wide and 6 inches / 15 cm long. Alternately, you could simply cut your carrots into evenly sized pieces, but sometimes it's fun to be a presentation snob. Peel the carrots and cut off any woody end pieces.||2. Melt the butter in a wide bottomed stockpot. Add the beef broth, crushed garlic cloves, and fresh kitchen herbs. Give it all a good stir and bring the broth to a boil.||3.  Now add your carrots in a single layer and roll them around in the broth a bit. Turn the heat down to medium and let them simmer for 12-15 minutes, or until the carrots are fork-tender. Gently turn them every five minutes to make sure the carrots stay evenly coated.||4.  Once the carrots are nice and tender, remove them with a slotted spoon. Try to keep them intact for presentation purposes.||5. Turn the heat back up on the broth. Keep boiling until it's reduced to a glaze. Fish out the cloves and any whole herbs then pour the glaze on top of the carrots. "	30	Easy
