Name	Series	Description	Ingredients	Instructions	Time	Level						
Kippers	Harry Potter 	Grilled Fish 	"4*null*Kippers,1*slice*Butter,1*sprinkle*Salt,1*Sprinkle*Pepper"	1. Broil or grill the kippers for 5 minutes. Remove them from the oven or grill and brush butter over the kippers. Sprinkle with the salt and pepper.||2. Serve with toast.	10	Easy						
Blancmange	Harry Potter 	A sweet dessert made of strawberries and milk	"3*cups*Whole Milk,2*envelopes*Unflavoured Gelatin,1*cup*Heavy Cream,0.5*cup*Granulated Sugar,1*cup*Ground Almonds,0.25*teaspoon*Almond Extract,1*pint*Strawberries,2*tablespoons*Granulated Sugar (sauce)"	"1. Grease 8 tartlet moulds or a muffin pan and set aside. Put half a cup of the milk in a bowl and sprinkle gelatin over it. Set aside.||2. Heat the remaining milk and the cream, sugar, and almonds in a small saucepan until hot but not simmering. Pour the mixture through a sieve and discard the almonds. Stir in the gelatin-milk mixture until gelatin is dissolved (if necessary, place over medium heat and stir until gelatin is dissolved; do not simmer or let boil). Stir in the almond extract.||3. Fill the moulds to the very top and refrigerate until firm, about 2 hours. Place a plate over the mould and invert to unmold. If you're having trouble unmolding, wrap a hot towel around the mould for a few seconds. Serve with Strawberry Sauce.||4. To make the Strawberry Sauce, place the strawberries and sugar in a blender or food processor and pulse until completely blended."	155	Hard						
Tsunade Healing Zosui	Naruto	" A classic rice soup, a Japanese version of chicken noodle soup"	"6*null*Radishes (sliced and simmered),3.5*cups*Dashi (divided),2*null*Chicken Thighs ( boneless, skinless and chopped),1*null*Carrot (sliced),3*null*Shiitake Mushrooms (chopped),1.5*cups*Japanese Rice (cooked),1*tablespoon*Soy Sauce,1*large*Egg,3*null*Green Onions (chopped),1*teaspoon*Sesame Seeds ( toasted),0.25*teaspoon*Pepper"	"1. Cut the radishes into quarter -inch slices, then trim them down into a diamond shape.||2. Place half a  cup of dashi in a small pot over high heat and bring to a boil. When boiling, add the radishes, then turn off the heat and let cool. If preparing in advance, transfer the radishes and liquid to a sealed container, then store in the fridge until ready to use. Otherwise, transfer the radishes to a small bowl and discard the broth.||3. When ready to prepare the soup, place 3 cups of dashi in a wide pot over medium heat and bring to a boil.||4. Add the chicken and carrot to the boiling dashi, then cover and turn the heat down to medium low. Cook for 5 minutes, then add the mushrooms, rice, and soy sauce. Cover and continue cooking for about 10 minutes.||5. Whisk the egg in a small bowl, then slowly drizzle the beaten egg into the pot. Add the green onion, sesame seeds, and pepper on top, then cover and let cook for a few minutes, just enough for the egg to set.||6. When ready to serve, portion out into individual bowls and top each with a simmered radish diamond."	35	Easy						
Chojis Chips	Naruto	" Portable, snackable, calorie-packed chips"	"1*tablespoon*Sea Slat,1*sheet*Nori,1*packet*Instant Ramen Powdered Seasoning,1*tablespoon*Salt,1*tablespoon*Sesame Seeds (toasted),1*teaspoon*Garlic Powder,1*pound*Russet Potatoes,1*quart*Ice Water,1*splash*Vegetable Oil"	"


1. Place ingredients for your desired seasoning mix into a spice grinder or food processor and blend until finely ground (not necessary if youre using ramen seasoning). Set aside.||2. Prepare the chips by using a mandoline or the wide edge of a box cutter to slice the potatoes to a thickness of an eighth inch. Place them in a large bowl with enough of ice water to cover them and let them soak for at least 30 minutes. Drain the potatoes using a colander or strainer, then pat dry thoroughly with paper towels.||3. Heat approximately 2 inches of oil in a wide pot to 375 degrees F.||4. Use tongs or a slotted spoon to place a handful of slices in the oil at a time, taking care not to crowd the pan too much to prevent the temperature from dropping. Fry for about 4 minutes, until a golden color is achieved, stirring frequently to ensure even cooking. You know theyre close when the potatoes start bubbling less.||5. Remove the potatoes from the oil with a slotted spoon and transfer to paper towels to dry. If necessary, add more oil and wait for the oil to come back up to temperature before frying another batch. ||6. While the subsequent batches are frying, pat down the freshly fried chips to remove as much oil as possible, then immediately transfer them to a large bowl and sprinkle some of the seasoning on top.||7. Continue adding more chips to the top of the bowl after theyre done frying and have been patted dry, then season them. Letting excess seasoning fall onto the chips below maximises flavour!||8. Repeat until all slices have been cooked, dried, and seasoned.||9. The chips are best enjoyed fresh but can be stored in an airtight container for up to 3 days."	50	Medium						
Shuriken Senbei	Naruto	"
Shuriken shaped rice crackers"	"0.5*cup*Mochiko Rice Flour,1*cup*Japanese Rice (cooked),0.25*tablespoon*Salr,0.25*teaspoon*Baking Powder,1*tablespoon*Sesame Oil,0.25*cup*Water,2*tablespoons*Sesame Seeds,1*splash*Vegetable Oil"	"1. To make the dough, place the rice flour, rice, salt, baking powder and oil in a food processor. Run until finely ground. Add the water, then pulse the processor until the water is fully incorporated. It will still be dry, but the dough should clump together when pressed. If not, add a tablespoon of water at a time until the right consistency is achieved.||2. Scoop out the dough into a small bowl, then add sesame seeds and work them into the dough until they are evenly distributed.||3. Roll the dough out on a sheet of parchment paper to a thickness of about a quarter inch or thinner, then cut into shuriken shapes. A four-pointed star, besides being a favourite of a shinobi, is more likely to hold together than more complex shapes. For bonus points, cut out a hole in the middle using a straw or knife.||4. To fry the senbei, heat about 2 inches of oil to 375 degrees Fahrenheit in a small, deep pot. Once it’s hot, gently place a few crackers at a time in the oil, taking care not to overcrowd the pan. Fry for about 3 to 5 minutes, flipping occasionally to ensure even browning. Once a golden colour is achieved, remove from the oil with a slotted spoon and place it on paper towels to absorb excess oil."	45	Easy						
Sasuke's Favourite Onigiri	Naruto	" Portable, easily customized rice snack is a delicious and sensible choice."	"0.25*cup*Bonito Flakes,2*teaspoons*Soy Sauce,1*null*Tomato (fresh),2*sheets*Nori,4*cups*Japanese Short-Grain Rice (freshly cooked),2*tablespoons*Sesame Seeds (toasted)"	"1. Begin to prepare the filling by mixing the bonito flakes with the soy sauce.||2. Quarter the tomato, remove as much of the pulp as you can, then chop into small pieces.||3. Toast the nori sheets briefly, holding them a few inches over an open flame such as a lighter or a gas stove burner on low, until the color darkens. Then cut into eight squares.||4. To shape the onigiri, place a small bowl of salted water to the side to use for rinsing your hands. Keeping your hands wet, flatten out half a cup of rice in your hands and make an indentation in the middle, placing a small amount of either the okaka or tomatoes in the center.||5. Gently round the rice over the top of the filling, then press together firmly with your hands. Shape it into a ball, or, if you are feeling extra fancy, a flattened triangle.||6. To finish, sprinkle some sesame seeds on top of each onigiri, then place it in a nori square and press the nori firmly into the rice to adhere it to the surface. Set aside and continue with the remaining rice, rewetting your hands as needed.||7. Serve at room temperature for best texture."	15	Easy						
Sand Village Sekihan	Naruto	" Beautiful dark beans scattered over rice, this dish somewhat resembles the Sand Village landscape."	"0.3*cup*Dried Adxuki Beans (soaked in water overnight),4*cups*Water,1*cup*Mochiko Rice,1*cup*Japanese Rice,1*teaspoon*Salt,1*tablespoon*Black Sesame Seeds"	"1. Place the beans and 2 cups of water in a small pot over high heat. Bring to a boil, then cook for about 5 minutes. Strain the beans, discarding the water.||2. Return the beans to the pot and add the remaining 2 cups of water. Cover loosely and bring to a  simmer over high heat. Reduce the heat to low and let simmer for about 30 minutes, until the beans are soft and break when pressed between your fingers.||3. Drain the beans, reserving the cooking liquid in a separate container. Set both the beans and liquid aside.||4. Polish the rice, then place in a small pot along with cooked beans, salt, and 2 cups of the reserved bean liquid. Cover with a tight-fitting lid, then turn the heat to high and bring just to boiling.||4. Immediately turn the heat down to low and leave the rice to steam for about 15 minutes, until you see small, even dimples across the surface of the rice and all the water has been absorbed.||5. Turn the heat to high for 1 more minute to allow any last bit of water to evaporate, then remove from the heat. Cover, leaving the lid cracked open, and leave to rest for 10 minutes.||6. To serve, gently fluff the rice with a spatula or rice paddle, then garnish with the sesame seeds arranged in the shape of the Sand Village logo."	330	Easy						
Madara's Eye Inarizushi 	Naruto	 Tasty pickled onion–topped treats	"1*small*Red Onion (quartered and thinly sliced),0.5*cup*Rice Vinegar,0.5*cup*Water,2*tablespoons*Sugar,0.5*tablespoon*Salt,8*null*Aburaage Squares,3*tablespoons*Soy Sauce,3*tablespoons*Sugar (inarizushi),1*cup*Dashi,2*cups*Water (inarizushi),3*cups*Sushi Rice,1*tablespoon*Sesame Seeds"	"1. Begin by preparing the pickled onions in advance. Place the onions in a small jar or container. Bring the vinegar, water, sugar, and salt just to a boil in a small pot over high heat, then stir until the sugar is melted. Pour the liquid over the onions, then cover and let sit in the fridge for at least 12 hours.||2. To prepare the inarizushi, bring a small pot of water to a boil over high heat. While it is warming up, prepare the aburaage by cutting along one side of each square to create a pouch. Use your hands or a knife to gently open up the pouch.||3. Boil the cut aburaage in hot water for a minute, then drain well.||4. Place the soy sauce, sugar, dashi, and water in a small pot and bring to a boil over high heat.||5. Once boiling, turn the heat down to medium, add the aburaage, and cook for 10 to 15 minutes. Transfer to an airtight container and place in the fridge until ready to use.||6. To assemble, mix the sushi rice and sesame seeds, then divide into eight portions.||7. Gently squeeze an aburaage pouch to remove excess liquid, then carefully stuff one of the rice portions into the pouch. Repeat for the remaining pouches.||8. Arrange strips of pickled onion in rows on top of the rice, with their arcs facing the center like parentheses. Trim the slices down as needed to match the width of the pouch. Tuck the edges of  the onions into the pouch."	740	Easy						
Teuchi Udon	Naruto	Homemade  udon noodles 	"4*cups*Flour,1*tablespoon*Salt,1.25*cup*Water,1*null*Egg Yolk,1*dust*Starch"	"1. Combine the flour and salt in a large bowl and mix well to combine.||2. Pour the contents out into the shape of a mound on your work surface, then use your fingers to make a small indentation in the middle.||3. Pour the water and egg yolk into the indentation, then work the liquid into the mixture using your hands. Depending on the flour, you may need to add more water.Add just enough to get the flour to combine but not be too sticky.||4. Knead vigorously until the dough is smooth but firm, like your earlobe being the traditional Japanese guidance.||5. Roll the dough into a ball and wrap with plastic wrap, then set aside for at least 2 hours at room  temperature or 8 hours in the fridge.||6. When ready to cut the noodles, unwrap the dough and place on a lightly floured work surface. Roll out into a rectangular shape eighth inch thick. Dust the top with starch, then, taking the short sides of the rectangle, fold them inward, as if you were folding a letter to fit in an envelope.||7. With the long side of the folded dough facing you, hold a sharp knife or cleaver perpendicular to the long side and cut the dough into strips eigth inch wide, resulting in thin, narrow strips when the pieces are unfolded.||8. Gently loosen the noodles to unfold them, then lightly dust with starch to prevent them from clumping. Divide them into four portions for easier cooking.||9. When ready to cook, bring a large pot of water to a boil, making sure there’s enough water that the noodles won’t be crowded and water can circulate freely. Add the noodles one portion at a time, waiting for the water to reach full boiling again before adding the next portion. Stir constantly to keep the noodles from sticking to the bottom. Once all the noodles are added to the water, cook for 2 to 3 more minutes.||10. Place a colander in the sink and carefully pour the contents of the pot into the colander, then rinse under cool or cold running water briefly to remove any surface starch.||11. Serve immediately in any recipe calling for cooked noodles."	300	Medium						
Kurama's Nine-Tails Kitsune Udon	Naruto	 This dish piles on the aburaage strips to make quite the tasty feast!	"1*tablespoon*Soy Sauce,2*tablespoons*Mirin,1*tablespoon*Sugar,0.5*cup*Dashi,2*null*Aburaage Rectangles,4*cups*Dashi (noodles and broth),4*tablespoons*Soy Sauce (noodles and broth),3*tablespoons*Mirin (noodles and broth),1*tablespoon*Sugar (noodles and broth),2*servings*Udon (cooked),2*null*Green Onions (finely chopped)"	"1. To prepare the seasoned aburaage, combine the soy sauce, mirin, sugar, and dashi in a small pot over medium heat. Add the aburaage, then let simmer until all the liquid has been absorbed. Let cool and set aside, then cut each rectangle into nine long strips.||2. In a large pot, bring the dashi just to a boil over medium heat. Add the soy sauce, mirin, and sugar, then cook until the sugar is dissolved.||3. Place the noodles in serving bowls, then divide the broth between the bowls. Arrange the strips of the aburaage on each bowl, fanned out from the center like Kurama’s tails. Sprinkle with the green onions to serve."	20	Easy						
Shukaku's One Tail Tanuki Soba	Naruto	"A recipe that uses colored tempura crumbles, called tenkasu, to bring a new twist on a classic noodle dish."	"3*tablespoons*Flour,3*tablespoons*Water,1*packet*Black Food Coloring,1*splash*Vegetable Oil,4*cups*Dashi,4*tablespoons*Soy Sauce,3*tablespoons*Mirin,1*tablespoon*Sugar,2*servings*Soba Noodles (cooked),2*null*Green Onions,1*shake*Shichimi Togarashi"	"1. To make the tenkasu, combine the flour and water, then divide into two bowls. Add food coloring to one bowl to create a black batter.||2.  Add a few cups of oil to a small pot over medium heat and bring to 350 degrees Fahrenheit. Using a fork to scoop the batter, let the batter drip off the forks tines and into the oil, creating batter droplets. Once the droplets float to the surface and start browning, remove from the oil and place on paper towels to drain. Continue frying until all the batter is used up.||3. To make the noodles, in a large pot, bring the dashi just to a boil over medium heat. Add the soy sauce, mirin, and sugar, then cook until the sugar is dissolved.||4.Place the noodles in serving bowls, then divide the broth between the bowls. Portion the tenkasu and green onions on top of both bowls, then sprinkle with shichimi togarashi to serve."	40	Easy						
Kakashi's Salt-Broiled Saury	Naruto	Kakashi beloved fish based recipe	"2*whole*Pacific Saury,1*tablespoon*Salt,1*null*Daikon Radish (grated),1*null*Lemon (cut into wedges),1*splash*Soy Sauce"	"1. Rinse the fish briefly under cool water, then pat dry thoroughly. Use your knife to cut a shallow slit lengthwise on either side of the fish, following the line formed by the colouration of the skin. Sprinkle the fish heavily on all sides with salt, then let sit for 15 minutes.||2. Preheat the oven on the broiler setting, on high, then place the saury on a baking sheet and place it directly under the broiler. Let cook for 8 to 10 minutes on each side, turning the fish over once a nice char develops on the skin.||3. To serve, plate each fish alongside individual small bowls of grated daikon, lemon, and soy sauce."	35	Hard						
Sea Monster Tempura	Naruto	"
A versatile technique that works well with a wide variety of fish (and vegetables, meats, and pretty much anything else), this tempura recipe will give you perfection in fried form."	"0.75*cup*Dashi,2*tablespoons*Soy Sauce,2*tablespoons*Mirin,1*tablespoon*Sugar,1*pound*White Fleshed Fish Fillets,0.25*cup*Starch,1*splash*Vegetable Oil,1*null*Egg Yolk,1*cup*Cold Water,0.25*cup*Ice Cubes,1.5*cups*Cake Flour"	"1. To prepare the sauce, combine the dashi, soy sauce, mirin, and sugar in a small pot over high heat and bring to a boil. Once boiling, turn off the heat and let it cool.||2. Prepare the fish by cutting it into bite-size pieces. If using fillets with skin, make shallow parallel cuts on the skin side about a quarter inch apart to help prevent fish from curling while frying.||3. Pat the fillets dry with paper towels, then coat generously with the starch and set aside.||4. Place a few inches of oil in a wide pot over medium heat and bring to 350 degrees Fahrenheit. While the oil is heating, place the egg yolk, water, and ice cubes in a small bowl and whisk well to combine.||5. Prepare your workstation by setting a paper towel–lined tray to one side of the stove, and place the fish and the flour within reach.||6. When the oil is hot, add the flour to the egg mixture and stir for about 20 seconds, until roughly combined. It’s OK if there are still some flour clumps in the batter; you just want it mostly mixed up.||7. It is critical to keep the oil temperature steady for the right texture, so fry only a few pieces at a time. Working with one fish piece at a time, quickly dip the fish in the batter, then immediately add it to the oil, letting it fry for a few seconds before adding another piece to the pan.||8. Fry for about 3 to 5 minutes, depending on the size of the pieces, until golden brown. Remove from the pan using a slotted spoon, then transfer to the paper towel-lined plate to drain. Between batches, skim and discard the crumbs left behind in the oil. Serve with Shuriken Senbei to honour the epic battle that Naruto and the other shinobi fought against the giant marlin from the Third Shinobi World War."	30	Medium						
Eight Tails Tako Su	Naruto	An octopus dish	"3*tablespoons*Rice Vinegar,1*tablespoon*Sugar,1*tablespoon*Soy Sauce,0.25*inch*Ginger (fresh and grated),0.5*tablespoon*Dried Wakame,1*small*Cucumber,1*teaspoon*Salt,0.25*pound*Octopus (boiled, precooked and sliced)"	"1. Combine the rice vinegar, sugar, soy sauce, and ginger in a small bowl and stir to combine, then set aside.||2. Place the wakame in a small bowl of water and let sit for 15 minutes to allow the wakame to rehydrate.||3. Slice the cucumber thinly and place in a small bowl. Stir in the salt, and let it sit for 15 minutes.||4. Gently squeeze out the water from the cucumbers with your hands, taking a handful at a time and squeezing it between your palms, then place in a large bowl.||5. Add the sliced octopus, wakame, and seasoning and stir well to combine.||6. Serve chilled."	15	Easy						
Infinite Tsukuyomi Tsukune	Naruto	 You will have to worry about while eating these chicken meatballs is getting lost in a world of flavour.	"1*cup*Pineapple Juice,0.5*cup*Brown Sugar (packed),0.3*cup*Rice Vinegar,3*tablespoons*Ketchup,2*tablespoons*Soy Sauce,1*tablespoon*Cornstarch,1*tablespoon*Black Sesame Seeds,1*pound*Ground Chicken,1*small*Onion (grated),1*inch*Ginger (fresh and grated),3*cloves*Garlic (minced),1*large*Egg,0.5*cup*Breadcrumbs,1*splash*Sesame Oil"	"1. Prepare the bamboo skewers by placing them in a shallow bowl of water, then set aside until ready to use.||2. To make the sauce, combine the pineapple juice, brown sugar, vinegar, ketchup, and soy sauce in a small pan, then bring to a boil over high heat.||3. Once boiling, reduce the heat to low. Mix the cornstarch with a tablespoon or so of water to make a slurry, then add it to the pan and stir to combine. Let the sauce simmer for about 5 minutes, until it has thickened, then add the sesame seeds, remove from the heat, and set aside.||4. Preheat the oven by turning the broiler on high.||5. To prepare the tsukune, combine the ground chicken, onion, ginger, garlic, egg, and breadcrumbs in a small bowl. Knead with your hands for several minutes, an important step to help keep the meat on the skewer.||6. To shape, lightly coat your hands with sesame oil, then take a large spoonful of the mixture in your hands. Shape into a ball, then toss lightly from one hand to the other several times to help firm up the surface.||7. To grill, skewer two to four meatballs on each bamboo skewer, then cover the remaining wood with aluminium foil to prevent it from burning. Brush the surface with oil, then place on a greased-rimmed baking sheet. Place directly under the broiler, then cook for 3 minutes per side, rotating them as each side finishes cooking until a nice char develops on the surface. Remove from the oven and brush with the sauce, then return to the oven to broil for a few minutes more before serving."	50	Medium						
Akamaru's Favourite Dog Food	Naruto	" Scrambled ground meat, called soboro in Japanese, is a dish that’s easy to prepare, has a great nutritional blend, and is perfect for all ninja, whether dog or human."	"3*large*Eggs,1*teaspoon*Salt,2*tablespoons*Sesame Oil,1*pound*Ground Chicken,0.5*inch*Ginger (fresh and grated),2*tablespoons*Mirin,2*tablespoons*Soy Sauce,1*cup*Frozen Peas,4*servings*Rice (freshly cooked)"	"1. Whisk the eggs in a small bowl with the salt. Set aside for 10 minutes. (This helps transform the egg proteins and makes the eggs firmer.)||2. Place a wide skillet over medium heat. When hot, add 1 tablespoon of sesame oil, then add the eggs and cook until fully set, stirring constantly to create finely scrambled eggs. Remove from the pan and set aside.||3. Place the remaining 1 tablespoon of oil in the pan, then add the chicken, crumbling it apart with a spatula as it cooks. Cook for about 8 minutes, until mostly cooked through, then add the ginger, mirin, and soy sauce. Let cook for about 5 more minutes, until all the moisture has been evaporated. Remove from the heat and set aside.||4. Place a small pot of water over high heat and bring to a boil. Once boiling, add the peas and cook for about 3 minutes until parboiled, then drain in a colander and let cool.||5. To assemble, place the rice in four individual serving bowls. Place the scrambled egg on top of half of the rice, then place the scrambled chicken on the other. Arrange the peas down the middle of the bowls to serve."	40	Easy						
Quick Pickled Cucumber 	Naruto	Simple cucumber salad 	"1*large*Cucumber,1*inch*Ginger (fresh),1*tablespoon*Salt "	"1. Using a mandoline or the slit side of a box grater, slice cucumber into thin strips. Use one of the finer sides to grate the ginger into a pulp.||2. Combine all the ingredients together in a small bowl, gently massaging it together to press the salt into the cucumber. Let sit for at least 15 minutes.||3. Use your hands to gently squeeze the cucumbers to remove excess moisture. Serve chilled or at room temperature."	15	Easy						
Sai's Edible Ink	Naruto	" Its salty teriyaki flavour, this ink pairs well with lightly seasoned foods."	"0.5*teaspoon*Squid Ink,0.25*cup*Dashi,0.25*cup*Soy Sauce,0.25*cup*Mirin,2*tablespoons*Sugar"	"1. Combine all the ingredients in a small pot and bring to a boil over high heat.||2. Turn the heat down to low and simmer until it’s reduced by at least half and a thick consistency is achieved. Remove from the heat and let cool.||3. Once cool, transfer to a plastic squeeze bottle to use. Or use it to decorate food using a clean watercolor brush."	20	Easy						
Brock Lee Goma-ae	Naruto	"
This sesame-dressed salad is often made with spinach. But take a stalk of broccoli and dip its crown in soy sauce… does the slim, green, round-headed, dark-crowned shape remind you of anybody?"	"3*tablespoons*Sesame Seeds,0.5*tablespoon*Sugar,2*tablespoons*Soy Sauce,1*tablespoon*Dashi,2*cups*Broccoli Florets"	"1. Place the sesame seeds in a small pot over medium heat and toast until fragrant and lightly browned, stirring occasionally. Let cool, then place in a spice grinder or food processor and grind well.||2. Place the ground seeds in a small bowl. Add the sugar, soy sauce, and dashi and let sit for 15 minutes until the flavours combine.||3. Place a small pot full of water over medium heat and bring to a boil. Add the broccoli, then let simmer for about 3 minutes, until the colour just starts to turn a more vibrant green. Drain in the sink using a colander, then place under cool running water for a few minutes to prevent further cooking.||4. Using your hands, squeeze out any remaining water from the broccoli, then place it in a bowl and combine with the sesame sauce."	25	Easy						
Sasuke's Soy-Pickled Tomatoes 	Naruto	Sasuke twist on pickled tomatoes	"3*large*Tomatoes,0.6*cup*Dashi,1*cup*Rice Vinegar,3*tablespoons*Sugar,2*tablespoons*Soy Sauce,1*teaspoon*Salt"	"1. Prepare the tomatoes by bringing a large pot of water to a boil. Remove the stems from the tomatoes, then cut a shallow cross mark on the bottom of each. Add them to the water, then let boil for about 30 seconds, flip, and boil for 30 seconds more. Immediately remove the tomatoes from the pot and place them under running water to cool down.||2. While the tomatoes cool off, prepare the pickling jar. Add the dashi, vinegar, sugar, soy sauce, and salt to a small pot and bring to a boil. Stir until the sugar is melted, then remove from the heat and let cool.||3. Once the tomatoes are cool, gently remove the skin by peeling at the corners of the cross marks. The skin should come away easily, but you can rub it gently with your fingers to loosen it. Transfer the tomatoes to a small sealable container, then pour the pickling liquid on top.||4. Seal the container, then place it in the fridge to marinate for at least 12 hours. Slice the tomatoes to serve."	10	Medium						
Hidden Leaf Highball	Naruto	Whiskey and seltzer cocktail	"0.5*cup*Cubed Ice,1.5*ounces*Japanese Whiskey,4.5*ounces*Seltzer Water,1*strip*Lemon Peel,1*sprig*Fresh Tarragon"	"1. Combine the ice, whiskey, and seltzer water in a highball glass and stir.||2. Take the lemon peel with both hands and twist it over the glass to express some of the oil, then rub the rim of the glass with it to add extra flavor.||3. To serve, garnish with the lemon peel and, if desired, a tarragon sprig in honor of the forest that hides Konohagakure."	5	Easy						
Raspberry Rasengan 	Naruto	"
Packed with antioxidants and natural sweetness, this smoothie is the perfect thing to power up your day with a swirl of chakra!"	"1*null*Banana (roughly chopped),0.5*cup*Vanilla Yogurt (divided),1*cup*Soy Milk,0.6*cup*Frozen Raspberries,1*teaspoon*Matcha Powder,1*tablespoon*Honey,1*cup*Ice"	"1. Place the banana, a quarter of a cup of yogurt, the soy milk, raspberries, matcha, and honey in a blender, then blend on lowest speed until smooth, about 5 seconds.||2. Gradually add the ice while continuing to blend on low, adding it until the desired consistency is achieved. Then blend on high for another 15 seconds, until the mixture is velvety smooth.||3. To serve, pour the smoothie into a tall glass, then add the remaining quarter of a cup of yogurt on top and stir a little until a swirl is created."	5	Easy						
Konoha Cosmo	Naruto	"
In Konohagakure, it’s said that drinking this cocktail is the first step to learning Drunken Fist taijutsu."	"1*cup*Ice,2*ounces*Green Tea,1*ounce*Vodka,0.5*ounce*Orange Liqueur,1*ounce*Cranberry Juice,1*teaspoon*Lime Juice,1*strip*Lime Peel"	"1. Pour all the ingredients except the lime peel into a cocktail shaker. Shake vigorously for several seconds, then strain into a cocktail glass.||2. Take the lime peel with both hands and twist it over the glass to express some of the oil, then rub the rim of the glass with it to add extra flavor. Garnish with the lime peel and serve."	5	Easy						
Kurenai's Shochu Martini	Naruto	"
This drink uses Kurenai Sarutobi’s favorite shochu (distilled from rice and barley) instead of traditional gin or vodka for a martini that’s perfect for relaxing after a long day of training the next generation of shinobi."	"1*cup*Ice,2*ounces*Shochu,2*ounces*dry Vermouth,1*teaspoon*Yuzu,1*strip*Lemon Peel"	"1. Combine the ice, shochu, vermouth, and yuzu juice in a cocktail shaker and shake well.||2. Strain and pour into a martini glass.||3. Take the lemon peel with both hands and twist it over the glass to express some of the oil, then rub the rim of the glass with it to add extra flavor. Garnish with the lemon peel and serve."	5	Easy						
Narutomaki Sugar Cookies	Naruto	A naruto inspired sugar cookie.	"0.25*cup*Butter (softened),0.25*cup*Sugar,1*large*Egg,0.5*teaspoon*Vanilla Extract,0.75*cup*Flour,0.25*teaspoon*Salt,2*tablespoons*Matcha Powder,1*bowl*Coloured Sprinkles"	"1. Place the butter and sugar in a large bowl and stir until combined, then whisk in the egg and vanilla. Sift the flour and salt together, then add to the butter-sugar mixture and stir until well combined.||2. Place a sheet of plastic wrap on your work surface, then spread the mixture evenly on the wrap, making a roughly 9-by-9-inch square. Sprinkle the flavoring over the dough, keeping a 2-inch strip bare on one side.||3. Positioning the rectangle with the bare strip away from you, start at the near side and gently begin rolling up the dough into a cylinder. Use the plastic to guide the dough, and pull it away from the dough as it’s rolled. When the dough is rolled up, wrap it again in the plastic.||4. To create the crinkled narutomaki shape, wrap the dough log in a sushi rolling mat, pressing firmly once it’s fully wrapped to imprint the mat lines in the dough. Unwrap carefully so as to not lose any texture, then place in the freezer to firm up for at least 1 hour.||5. To bake, preheat the oven to 325 degrees Fahrenheit.||6. Unwrap the chilled dough and cut into quarter-inch slices. Arrange the cookies 1 inch apart on parchment-lined baking sheets, then bake for 11 to 14 minutes, until lightly golden.||7. Transfer to wire racks to cool."	95	Medium						
Sasuke's Curse Mark Castella 	Naruto	"This honeyed sponge cake has a long history in Japan as well as in Konoha village. They’re traditionally served plain, but the chocolate marble in this variation serves to mimic Sasuke’s curse marks—though with a sweeter result."	"4*large*Eggs (room temperature),0.5*cup*Sugar,4*tablespoons*Honey,0.125*teaspoon*Salt,0.6*cup*Bread Flour,1*tablespoon*Unsweetened Cocoa Powder"	"1. Preheat the oven to 325 degrees F. Line an 8-by-4-inch loaf pan with parchment paper or grease with oil, then set aside.||2. In a large bowl, beat the eggs with a hand mixer set on high.||3. Add the sugar, and keep mixing at high speed for about 8 to 10 minutes until stiff peaks form in the batter. It will grow in size dramatically—this foam is what gives the cake lift! Take care not to overbeat it once the peaks are achieved, otherwise it could start to collapse. Turn the speed down to low, then mix in 3 tablespoons of honey and the salt.||4. Sift the flour into a separate bowl, then add about one-third of the flour to the egg mixture and beat on low speed until combined. Repeat this twice more until all the flour has been combined.||5. Pour half of the batter into a separate bowl. Add the cocoa powder to the second bowl and stir until combined.||6. To create the marble effect, first pour some of the plain batter into the prepared baking pan. Top it with some of the chocolate batter, then more of the plain. Repeat this process until you have about half a cup of each batter left. Draw a knife through the poured batter to create swirls in the cake, then carefully pour the remaining plain batter on top, smoothing it out over the center of the surface. To create the curse marks, pour three circles of the remaining chocolate batter, arranged in a small triangle, in the middle of the cake, then draw the knife through each circle in an outward motion, creating a comma shape with each one.||7. Bake on the middle rack for 40 minutes, until a skewer inserted into the center comes out clean. If not, continue baking for 5-minute intervals until the correct doneness is achieved.||8. Flip the cake over on the counter to remove from the pan, then immediately cover with plastic wrap. When cooled, remove the wrap and trim off the sides of the cake, exposing the marbled cake underneath.||9. Just before serving, mix the remaining 1 tablespoon of honey with 1 tablespoon of water and brush on the top."	75	Medium						
